,communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
378,Englewoodcity,0.02,0.5,0.77,0.22,0.3,0.29,0.31,0.4,0.24,0.44,0.04,1.0,0.58,0.61,0.23,0.51,0.49,0.26,0.38,0.58,0.71,1.0,0.38,0.12,0.37,0.41,0.02,0.21,0.27,0.33,0.56,0.31,0.6,0.39,0.68,0.39,0.63,0.45,0.52,0.54,0.53,0.56,0.52,0.5,0.7,0.48,0.57,0.49,0.03,0.61,0.04,0.34,0.41,0.47,0.51,0.6,0.62,0.65,0.65,0.55,0.44,0.5,0.45,0.54,0.59,0.55,0.3,0.51,0.5,0.02,0.83,0.53,0.19,0.43,0.21,0.16,0.29,0.53,0.55,0.84,0.55,0.63,1.0,0.01,0.0,0.74,0.22,0.66,0.65,0.48,0.01,0.42,0.87,0.26
379,NorthAugustacity,0.01,0.33,0.3,0.75,0.06,0.01,0.39,0.51,0.29,0.41,0.02,1.0,0.35,0.67,0.31,0.45,0.42,0.17,0.55,0.36,0.38,0.41,0.19,0.18,0.56,0.77,0.01,0.24,0.2,0.3,0.4,0.18,0.59,0.45,0.44,0.31,0.55,0.52,0.33,0.6,0.59,0.4,0.58,0.6,0.71,0.5,0.61,0.57,0.01,0.45,0.0,0.33,0.24,0.26,0.28,0.03,0.02,0.02,0.02,0.98,0.01,0.13,0.12,0.36,0.42,0.59,0.08,0.49,0.5,0.03,0.68,0.56,0.2,0.34,0.56,0.18,0.07,0.13,0.12,0.13,0.2,0.16,0.26,0.0,0.0,0.04,0.15,0.53,0.58,0.39,0.05,0.08,0.01,0.23
380,Readingcity,0.11,0.36,0.19,0.68,0.09,0.34,0.41,0.52,0.36,0.55,0.12,1.0,0.17,0.39,0.08,0.38,0.62,0.58,0.53,0.2,0.2,0.23,0.22,0.3,0.16,0.18,0.13,0.51,0.55,0.74,0.12,0.57,0.39,0.69,0.3,0.8,0.19,0.67,0.56,0.66,0.69,0.47,0.25,0.25,0.27,0.28,0.48,0.42,0.12,0.72,0.02,0.42,0.5,0.57,0.56,0.13,0.13,0.14,0.12,0.65,0.33,0.36,0.28,0.37,0.4,0.46,0.19,0.48,0.5,0.15,0.66,0.46,0.69,0.53,0.0,0.39,0.43,0.04,0.03,0.04,0.51,0.21,0.47,0.1,0.0,0.12,0.8,0.6,0.8,0.73,0.03,0.67,0.41,0.49
381,Colliervilletown,0.01,0.76,0.22,0.82,0.02,0.01,0.52,0.42,0.24,0.15,0.0,0.0,0.59,0.81,0.57,0.44,0.21,0.12,0.16,0.56,0.39,0.41,0.21,0.02,0.06,0.18,0.01,0.16,0.21,0.28,0.41,0.1,0.67,0.52,0.25,0.37,0.41,0.2,0.28,0.29,0.26,0.75,0.88,0.87,0.94,0.74,0.19,0.34,0.01,0.24,0.0,0.49,0.36,0.36,0.49,0.04,0.03,0.03,0.03,0.97,0.03,0.28,0.33,0.81,0.84,0.86,0.12,0.12,0.5,0.01,0.86,0.83,0.08,0.47,0.88,0.12,0.29,0.21,0.23,0.24,0.3,0.51,0.21,0.0,0.0,0.03,0.5,0.26,0.47,0.23,0.03,0.1,0.0,0.03
382,Cranfordtownship,0.02,0.5,0.06,0.93,0.09,0.04,0.28,0.36,0.21,0.51,0.04,1.0,0.71,0.69,0.08,0.83,0.56,0.05,0.62,0.69,0.6,0.59,0.46,0.13,0.35,0.64,0.0,0.05,0.15,0.2,0.55,0.1,0.64,0.34,0.44,0.19,0.62,0.17,0.38,0.23,0.21,0.49,0.86,0.87,0.96,0.72,0.43,0.57,0.0,0.08,0.01,0.13,0.14,0.17,0.19,0.07,0.07,0.07,0.07,0.83,0.06,0.17,0.18,0.53,0.57,0.85,0.03,0.23,0.5,0.01,0.92,0.81,0.07,0.53,0.15,0.03,0.42,0.57,0.52,0.5,0.49,0.56,0.49,0.0,0.0,0.22,0.69,0.85,0.8,0.79,0.01,0.39,0.47,0.04
383,Durangocity,0.0,0.46,0.01,0.85,0.07,0.21,0.89,0.78,0.83,0.37,0.0,0.0,0.19,0.55,0.42,0.52,0.43,0.19,0.3,0.28,0.21,0.22,0.03,0.07,0.23,0.3,0.02,0.49,0.18,0.26,0.5,0.4,0.41,0.05,0.52,0.16,0.44,0.48,0.86,0.48,0.49,0.38,0.54,0.58,0.4,0.53,0.7,0.93,0.0,0.18,0.0,1.0,0.77,0.63,0.6,0.12,0.08,0.06,0.05,0.83,0.08,0.17,0.14,0.32,0.38,0.46,0.13,0.58,0.0,0.02,0.75,0.44,0.07,0.22,0.42,0.33,0.4,0.18,0.17,0.16,0.65,0.5,0.31,0.04,0.0,0.05,0.41,0.32,0.28,0.48,0.01,0.22,0.08,0.15
384,Elizabethcity,0.16,0.52,0.39,0.47,0.17,0.73,0.39,0.53,0.34,0.38,0.17,1.0,0.26,0.54,0.13,0.31,0.43,0.55,0.37,0.26,0.24,0.27,0.22,0.18,0.33,0.37,0.16,0.42,0.7,0.74,0.17,0.67,0.45,0.61,0.23,0.88,0.19,0.52,0.62,0.52,0.54,0.65,0.41,0.38,0.46,0.35,0.48,0.43,0.16,0.73,0.27,0.37,0.45,0.5,0.58,0.96,1.0,1.0,1.0,0.0,1.0,0.49,0.42,0.55,0.74,0.15,0.53,0.77,0.0,0.12,0.8,0.13,0.36,0.43,0.15,0.51,0.62,0.33,0.36,0.33,0.48,0.71,0.63,0.04,0.1,1.0,0.4,0.6,0.68,0.61,0.03,0.75,0.59,0.54
385,Brenhamcity,0.0,0.49,0.46,0.58,0.08,0.08,0.63,0.55,0.48,0.58,0.0,0.0,0.17,0.37,1.0,0.46,0.68,0.39,0.4,0.22,0.18,0.22,0.15,0.22,0.26,0.19,0.02,0.45,0.7,0.63,0.24,0.26,0.34,0.29,0.61,0.45,0.35,0.31,0.6,0.36,0.35,0.45,0.49,0.49,0.57,0.56,0.9,0.88,0.01,0.45,0.0,0.2,0.34,0.74,0.82,0.03,0.05,0.1,0.1,0.86,0.09,0.23,0.19,0.36,0.34,0.5,0.23,0.56,0.0,0.02,0.6,0.52,0.2,0.52,0.67,0.62,0.29,0.09,0.09,0.09,0.38,0.37,0.33,0.0,0.0,0.07,0.91,0.57,0.68,0.93,0.02,0.13,0.01,0.31
386,Chinocity,0.08,1.0,0.19,0.5,0.21,0.67,0.59,0.7,0.48,0.13,0.09,1.0,0.5,0.79,0.36,0.34,0.23,0.34,0.27,0.48,0.27,0.33,0.18,0.18,0.25,0.32,0.03,0.18,0.39,0.44,0.17,0.33,0.38,0.46,0.25,0.44,0.33,0.31,0.86,0.5,0.4,0.84,0.73,0.69,0.81,0.75,0.4,0.48,0.03,0.31,0.07,0.27,0.33,0.39,0.45,0.32,0.35,0.37,0.39,0.47,0.36,0.65,0.67,0.84,0.83,0.62,0.54,0.41,0.5,0.02,0.9,0.62,0.08,0.11,0.77,0.13,0.25,0.44,0.44,0.42,0.72,0.7,0.33,0.0,0.0,0.51,0.56,0.41,0.31,0.8,0.05,0.29,0.03,0.39
387,Kilgorecity,0.0,0.38,0.25,0.77,0.0,0.06,0.49,0.47,0.35,0.61,0.0,0.0,0.21,0.4,0.3,0.4,0.68,0.22,0.52,0.26,0.26,0.28,0.14,0.0,0.0,0.3,0.01,0.36,0.41,0.46,0.27,0.44,0.36,0.34,0.42,0.51,0.33,0.53,0.31,0.5,0.53,0.42,0.61,0.57,0.59,0.69,0.39,0.49,0.01,0.23,0.0,0.51,0.63,0.74,0.69,0.09,0.1,0.1,0.09,0.93,0.12,0.19,0.18,0.36,0.33,0.56,0.15,0.53,0.5,0.03,0.56,0.59,0.33,0.85,0.44,0.49,0.41,0.04,0.06,0.08,0.38,0.3,0.43,0.0,0.0,0.07,0.73,0.56,0.51,0.82,0.03,0.08,0.0,0.43
388,MorenoValleycity,0.17,0.83,0.27,0.5,0.41,0.42,0.46,0.52,0.26,0.09,0.19,1.0,0.5,0.82,0.09,0.29,0.16,0.37,0.4,0.44,0.28,0.3,0.33,0.2,0.26,0.36,0.09,0.21,0.19,0.3,0.22,0.47,0.63,0.37,0.29,0.4,0.33,0.4,0.32,0.47,0.45,0.85,0.75,0.73,0.77,0.67,0.39,0.39,0.06,0.26,0.1,0.33,0.42,0.45,0.49,0.28,0.32,0.31,0.31,0.63,0.25,0.61,0.66,0.91,0.88,0.7,0.42,0.28,0.5,0.16,0.69,0.7,0.12,0.21,0.96,0.18,0.15,0.37,0.34,0.32,0.73,0.89,0.15,0.0,0.0,0.36,0.52,0.1,0.03,0.64,0.14,0.2,0.05,0.5
389,Sylvaniacity,0.01,0.48,0.02,0.96,0.09,0.02,0.41,0.38,0.23,0.35,0.03,1.0,0.57,0.64,0.18,0.69,0.36,0.12,0.42,0.57,0.52,0.51,0.64,0.11,0.5,0.31,0.0,0.08,0.09,0.12,0.61,0.24,0.62,0.4,0.69,0.2,0.73,0.28,0.29,0.35,0.33,0.53,0.83,0.87,0.87,0.79,0.55,0.58,0.0,0.1,0.0,0.07,0.18,0.25,0.25,0.01,0.03,0.04,0.04,0.92,0.03,0.16,0.16,0.51,0.62,0.79,0.03,0.38,0.5,0.02,0.8,0.7,0.11,0.27,0.63,0.09,0.11,0.21,0.23,0.25,0.36,0.34,0.29,0.0,0.0,0.08,0.7,0.51,0.73,0.64,0.01,0.25,0.06,0.03
390,SanMarinocity,0.0,0.62,0.0,0.48,1.0,0.09,0.5,0.35,0.27,0.51,0.02,1.0,1.0,0.5,0.4,0.92,0.49,0.03,0.42,1.0,1.0,1.0,1.0,0.0,0.68,1.0,0.0,0.09,0.05,0.05,1.0,0.12,0.38,0.19,0.76,0.03,1.0,0.01,0.34,0.16,0.1,0.56,0.93,0.89,0.94,0.71,0.41,0.22,0.0,0.05,0.02,0.37,0.43,0.59,0.62,0.75,0.76,0.94,0.91,0.4,0.33,0.32,0.36,0.67,0.62,0.95,0.2,0.1,0.5,0.01,0.88,0.97,0.0,0.57,0.04,0.01,0.0,1.0,1.0,1.0,0.0,0.5,0.22,0.0,0.0,0.85,0.37,0.76,0.79,0.68,0.01,0.29,0.06,0.08
391,OakHarborcity,0.01,0.56,0.09,0.77,0.52,0.1,0.4,0.67,0.38,0.2,0.0,0.0,0.23,0.74,0.33,0.42,0.24,0.2,0.54,0.19,0.21,0.22,0.2,0.14,0.14,0.24,0.01,0.21,0.14,0.19,0.27,0.31,0.61,0.18,0.31,0.29,0.29,0.28,0.19,0.39,0.35,0.58,0.81,0.85,0.82,0.67,0.39,0.34,0.0,0.07,0.01,0.53,0.51,0.54,0.52,0.28,0.24,0.23,0.2,0.81,0.07,0.22,0.23,0.6,0.51,0.18,0.27,0.49,0.5,0.01,0.9,0.24,0.04,0.36,0.71,0.06,0.12,0.19,0.18,0.17,0.49,0.66,0.0,0.0,0.0,0.22,0.16,0.09,0.0,0.0,0.02,0.19,0.01,0.04
392,Jacksonvillecity,0.03,0.49,0.52,0.51,0.18,0.1,0.46,0.65,0.46,0.22,0.05,1.0,0.23,0.75,0.19,0.33,0.24,0.3,0.53,0.2,0.22,0.27,0.21,0.1,0.16,0.26,0.03,0.31,0.16,0.25,0.28,0.41,0.6,0.09,0.55,0.28,0.42,0.37,0.24,0.58,0.51,0.44,0.62,0.62,0.69,0.47,0.45,0.44,0.01,0.25,0.01,0.41,0.4,0.54,0.55,0.12,0.1,0.13,0.12,0.87,0.05,0.17,0.19,0.51,0.5,0.34,0.21,0.45,0.5,0.05,0.7,0.36,0.26,0.23,0.67,0.41,0.18,0.13,0.12,0.12,0.53,0.53,0.42,0.01,0.0,0.12,0.3,0.27,0.25,0.0,0.04,0.19,0.01,0.22
393,Conroecity,0.03,0.49,0.26,0.61,0.05,0.32,0.48,0.59,0.41,0.3,0.0,0.0,0.2,0.61,0.34,0.27,0.37,0.35,0.27,0.2,0.22,0.27,0.16,0.12,0.33,0.19,0.05,0.49,0.46,0.52,0.28,0.35,0.49,0.22,0.36,0.39,0.34,0.67,0.4,0.75,0.74,0.56,0.52,0.52,0.57,0.45,0.27,0.42,0.01,0.23,0.02,0.54,0.62,0.72,0.85,0.39,0.39,0.41,0.44,0.71,0.4,0.38,0.35,0.5,0.49,0.31,0.44,0.6,0.0,0.08,0.45,0.34,0.35,0.52,0.73,0.67,0.56,0.1,0.1,0.11,0.36,0.41,0.5,0.01,0.0,0.3,0.68,0.4,0.6,0.77,0.06,0.11,0.03,0.58
394,Colleyvillecity,0.0,0.68,0.01,0.96,0.1,0.04,0.5,0.32,0.23,0.1,0.02,1.0,1.0,0.91,0.64,0.73,0.1,0.05,0.33,0.98,0.92,0.89,1.0,0.6,1.0,0.37,0.0,0.02,0.07,0.09,0.75,0.14,0.7,0.31,0.28,0.1,0.74,0.16,0.18,0.13,0.14,0.59,1.0,0.97,0.94,0.98,0.35,0.26,0.0,0.03,0.0,0.54,0.52,0.48,0.51,0.13,0.11,0.09,0.09,0.93,0.03,0.18,0.23,0.75,0.71,0.98,0.04,0.02,1.0,0.01,0.82,0.97,0.04,0.56,0.9,0.01,0.0,0.41,0.48,0.6,0.33,0.54,0.29,0.0,0.0,0.1,0.42,0.37,0.38,0.24,0.04,0.08,0.02,0.01
395,Lewistoncity,0.03,0.33,0.0,0.97,0.04,0.02,0.41,0.43,0.28,0.53,0.0,0.0,0.23,0.46,0.62,0.51,0.55,0.23,0.49,0.26,0.26,0.25,0.25,0.13,0.13,0.29,0.03,0.29,0.23,0.32,0.25,0.4,0.46,0.48,0.42,0.52,0.32,0.61,0.28,0.53,0.58,0.36,0.66,0.71,0.66,0.76,0.69,0.68,0.01,0.08,0.0,0.53,0.44,0.39,0.38,0.05,0.04,0.03,0.03,0.97,0.02,0.15,0.14,0.34,0.4,0.61,0.07,0.49,0.5,0.03,0.84,0.58,0.18,0.38,0.46,0.21,0.11,0.1,0.09,0.09,0.29,0.14,0.21,0.0,0.0,0.04,0.48,0.54,0.58,0.56,0.05,0.14,0.02,0.1
396,Brownsvillecity,0.14,1.0,0.0,0.77,0.02,1.0,0.72,0.65,0.45,0.26,0.16,1.0,0.07,0.5,0.28,0.16,0.43,1.0,0.19,0.05,0.04,0.03,0.21,0.13,0.44,0.19,0.39,1.0,1.0,0.98,0.18,1.0,0.19,0.3,0.47,0.47,0.35,0.28,0.53,0.48,0.41,1.0,0.53,0.47,0.6,0.54,0.23,0.09,0.09,0.35,0.19,0.26,0.3,0.36,0.46,0.53,0.54,0.58,0.69,0.0,1.0,1.0,1.0,1.0,1.0,0.46,1.0,0.67,0.0,0.14,0.62,0.46,0.42,0.42,0.71,1.0,1.0,0.04,0.04,0.06,0.62,0.45,0.42,0.02,0.01,0.86,0.61,0.66,0.83,0.76,0.08,0.3,0.13,0.39
397,Phoenixvilleborough,0.01,0.31,0.13,0.88,0.07,0.02,0.24,0.5,0.25,0.48,0.02,1.0,0.33,0.6,0.08,0.5,0.5,0.28,0.55,0.37,0.34,0.34,0.31,0.0,0.11,0.24,0.01,0.13,0.32,0.44,0.29,0.19,0.6,0.54,0.33,0.48,0.32,0.51,0.52,0.53,0.54,0.41,0.61,0.64,0.71,0.62,0.49,0.59,0.01,0.22,0.0,0.03,0.15,0.14,0.23,0.01,0.03,0.03,0.04,0.88,0.07,0.2,0.17,0.33,0.43,0.53,0.06,0.48,0.5,0.02,0.8,0.48,0.22,0.43,0.27,0.09,0.08,0.22,0.2,0.2,0.45,0.54,0.58,0.0,0.0,0.1,0.82,0.61,0.6,0.73,0.01,0.35,0.1,0.09
398,Fredericksburgcity,0.01,0.39,0.42,0.64,0.06,0.04,0.72,0.81,0.76,0.43,0.03,1.0,0.25,0.56,0.16,0.41,0.51,0.26,0.44,0.29,0.3,0.34,0.24,0.17,0.16,0.35,0.02,0.32,0.39,0.45,0.42,0.16,0.49,0.13,0.5,0.34,0.44,0.67,0.67,0.54,0.62,0.34,0.38,0.4,0.53,0.39,0.6,0.67,0.02,0.54,0.0,0.67,0.59,0.61,0.67,0.14,0.1,0.1,0.1,0.94,0.07,0.21,0.15,0.25,0.32,0.21,0.12,0.71,0.0,0.03,0.7,0.21,0.26,0.26,0.52,0.52,0.24,0.22,0.24,0.29,0.54,0.41,0.32,0.01,0.14,0.08,0.58,0.36,0.17,0.5,0.03,0.15,0.12,0.18
399,Hallandalecity,0.03,0.0,0.28,0.76,0.03,0.16,0.04,0.09,0.05,1.0,0.05,1.0,0.15,0.0,0.12,0.58,1.0,0.2,0.47,0.19,0.4,0.45,0.17,0.42,0.48,0.41,0.04,0.42,0.38,0.56,0.21,0.47,0.0,0.17,0.25,0.24,0.38,0.66,0.21,0.43,0.55,0.01,0.23,0.23,0.33,0.2,0.27,0.24,0.03,0.33,0.05,0.16,0.23,0.3,0.33,0.27,0.35,0.42,0.42,0.56,0.18,0.08,0.05,0.0,0.0,0.54,0.22,1.0,0.0,0.41,0.0,0.6,0.08,0.51,0.67,0.23,0.2,0.16,0.15,0.19,0.99,0.69,0.4,0.0,0.0,0.74,0.06,0.62,0.58,0.51,0.01,0.62,0.21,0.8
400,Mansfieldcity,0.07,0.36,0.35,0.71,0.04,0.02,0.4,0.5,0.34,0.49,0.08,1.0,0.18,0.41,0.1,0.4,0.54,0.56,0.57,0.22,0.23,0.24,0.2,0.16,0.88,0.21,0.08,0.47,0.38,0.53,0.19,0.58,0.28,0.67,0.35,0.67,0.29,0.66,0.49,0.68,0.69,0.4,0.42,0.43,0.46,0.48,0.45,0.41,0.04,0.38,0.01,0.15,0.17,0.16,0.16,0.03,0.03,0.02,0.02,0.92,0.04,0.2,0.17,0.32,0.37,0.51,0.07,0.54,0.5,0.09,0.69,0.49,0.57,0.56,0.29,0.55,0.2,0.05,0.05,0.07,0.43,0.18,0.39,0.02,0.0,0.08,0.78,0.55,0.76,0.84,0.08,0.15,0.07,1.0
401,Milwaukeecity,0.99,0.42,0.59,0.44,0.11,0.11,0.44,0.56,0.37,0.39,0.99,1.0,0.2,0.45,0.11,0.44,0.48,0.75,0.47,0.21,0.2,0.28,0.18,0.13,0.15,0.22,1.0,0.59,0.33,0.49,0.22,0.59,0.42,0.51,0.45,0.56,0.3,0.62,0.69,0.61,0.64,0.55,0.18,0.21,0.2,0.16,0.45,0.45,1.0,0.98,0.2,0.37,0.37,0.4,0.44,0.12,0.11,0.11,0.11,0.82,0.12,0.43,0.34,0.42,0.47,0.31,0.2,0.62,0.0,0.73,0.8,0.31,0.86,0.44,0.21,0.33,0.46,0.09,0.08,0.07,0.59,0.41,0.57,0.3,0.12,0.14,0.71,0.52,0.79,0.75,0.28,0.55,0.62,0.4
402,Pinevillecity,0.0,0.45,0.41,0.65,0.09,0.02,0.56,0.6,0.46,0.45,0.02,1.0,0.14,0.48,0.16,0.35,0.49,0.42,0.56,0.16,0.16,0.2,0.15,0.19,0.04,0.17,0.02,0.55,0.43,0.48,0.3,0.51,0.34,0.15,0.79,0.29,0.45,0.57,0.41,0.69,0.67,0.49,0.5,0.49,0.64,0.55,0.58,0.47,0.01,0.24,0.0,0.07,0.78,0.93,0.91,0.01,0.11,0.12,0.11,0.89,0.06,0.25,0.22,0.4,0.41,0.43,0.18,0.6,0.0,0.03,0.57,0.44,0.35,0.58,0.56,0.45,0.07,0.06,0.08,0.09,0.34,0.2,0.6,0.0,0.0,0.06,0.78,0.5,0.66,0.8,0.02,0.15,0.06,0.05
403,GalenaParkcity,0.0,0.76,0.2,0.45,0.01,0.87,0.55,0.52,0.34,0.35,0.02,1.0,0.21,0.58,0.12,0.2,0.47,0.22,0.56,0.21,0.13,0.18,0.2,0.1,0.0,0.21,0.02,0.51,0.88,0.82,0.03,0.54,0.34,0.47,0.19,0.89,0.08,0.45,0.39,0.44,0.46,0.9,0.73,0.67,0.78,0.78,0.28,0.11,0.01,0.24,0.01,0.37,0.33,0.33,0.42,0.5,0.39,0.35,0.41,0.25,0.62,0.91,0.91,0.84,0.7,0.58,0.79,0.5,0.5,0.01,0.72,0.65,0.63,0.8,0.31,0.51,0.09,0.04,0.03,0.02,0.31,0.17,0.31,0.0,0.0,0.57,0.61,0.56,0.86,0.83,0.01,0.17,0.05,0.21
404,LosBanoscity,0.01,0.64,0.05,0.56,0.11,0.67,0.44,0.48,0.27,0.42,0.0,0.0,0.22,0.49,0.93,0.29,0.47,0.85,0.34,0.23,0.21,0.26,0.17,0.15,0.45,0.25,0.02,0.51,0.63,0.65,0.18,0.69,0.35,0.22,0.34,0.47,0.28,0.48,0.35,0.57,0.55,0.67,0.52,0.52,0.43,0.59,0.21,0.34,0.01,0.24,0.02,0.29,0.29,0.36,0.44,0.34,0.3,0.34,0.38,0.38,0.5,0.54,0.52,0.65,0.57,0.46,0.6,0.43,0.5,0.01,0.78,0.52,0.03,0.21,0.63,0.37,0.16,0.24,0.26,0.28,0.64,0.54,0.37,0.01,0.0,0.5,0.59,0.53,0.61,0.8,0.02,0.17,0.0,0.68
405,Avondalecity,0.01,0.77,0.09,0.37,0.08,0.95,0.55,0.59,0.38,0.2,0.0,0.0,0.21,0.58,0.22,0.18,0.23,0.81,0.31,0.19,0.13,0.2,0.12,0.07,0.18,0.19,0.04,0.75,0.96,0.76,0.13,0.76,0.35,0.34,0.24,0.56,0.23,0.6,0.47,0.58,0.61,0.88,0.48,0.41,0.38,0.47,0.33,0.19,0.02,0.44,0.01,0.45,0.47,0.5,0.49,0.33,0.3,0.29,0.26,0.25,0.53,0.79,0.77,0.81,0.8,0.51,0.82,0.55,0.5,0.03,0.5,0.53,0.35,0.21,0.77,0.87,0.25,0.09,0.11,0.18,0.64,0.51,0.76,0.0,0.08,0.31,0.45,0.39,0.67,0.47,0.06,0.06,0.04,0.32
406,ColumbiaHeightscity,0.01,0.32,0.02,0.94,0.09,0.02,0.3,0.42,0.25,0.51,0.03,1.0,0.31,0.53,0.23,0.56,0.55,0.28,0.6,0.34,0.3,0.3,0.13,0.13,0.2,0.26,0.01,0.22,0.26,0.35,0.19,0.36,0.58,0.51,0.31,0.46,0.24,0.5,0.42,0.49,0.52,0.36,0.53,0.57,0.56,0.66,0.73,0.66,0.01,0.28,0.0,0.48,0.48,0.55,0.55,0.13,0.11,0.12,0.11,0.91,0.06,0.15,0.13,0.36,0.41,0.7,0.07,0.53,0.5,0.01,0.93,0.65,0.04,0.24,0.4,0.11,0.0,0.17,0.14,0.13,0.72,0.42,0.24,0.0,0.0,0.11,0.79,0.63,0.54,0.83,0.01,0.46,0.47,0.2
407,CommerceCitycity,0.01,0.55,0.06,0.77,0.07,0.67,0.46,0.49,0.3,0.31,0.03,0.98,0.15,0.54,0.05,0.19,0.43,0.71,0.37,0.15,0.12,0.12,0.18,0.09,0.17,0.26,0.03,0.62,0.47,0.7,0.03,0.72,0.41,0.39,0.11,0.78,0.09,0.85,0.39,0.83,0.87,0.6,0.36,0.35,0.15,0.4,0.33,0.4,0.02,0.37,0.0,0.5,0.48,0.45,0.44,0.13,0.11,0.09,0.08,0.69,0.17,0.42,0.4,0.59,0.52,0.45,0.36,0.59,0.0,0.03,0.56,0.5,0.34,0.61,0.42,0.58,0.52,0.11,0.09,0.08,0.87,0.54,0.47,0.02,0.0,0.1,0.61,0.59,0.72,0.8,0.06,0.07,0.21,0.62
408,RockyMountcity,0.06,0.41,0.97,0.23,0.02,0.01,0.44,0.47,0.29,0.42,0.08,1.0,0.21,0.52,0.26,0.28,0.49,0.55,0.31,0.23,0.25,0.42,0.19,0.14,0.42,0.3,0.08,0.48,0.47,0.58,0.26,0.34,0.52,0.67,0.27,0.74,0.36,0.55,0.44,0.61,0.62,0.49,0.3,0.3,0.31,0.36,0.66,0.62,0.1,0.79,0.0,0.32,0.42,0.54,0.46,0.02,0.02,0.02,0.02,0.96,0.04,0.27,0.25,0.45,0.44,0.4,0.19,0.53,0.5,0.07,0.75,0.41,0.14,0.33,0.58,0.52,0.37,0.09,0.1,0.12,0.44,0.32,0.64,0.01,0.0,0.02,0.86,0.55,0.62,0.73,0.07,0.16,0.03,0.53
409,MenloParkcity,0.03,0.29,0.24,0.68,0.36,0.18,0.16,0.32,0.15,0.58,0.04,1.0,0.64,0.53,0.39,0.78,0.51,0.21,0.47,0.75,0.86,0.98,0.25,0.36,0.49,0.34,0.02,0.16,0.17,0.15,0.9,0.15,0.51,0.39,0.77,0.1,0.88,0.56,0.51,0.62,0.62,0.35,0.59,0.58,0.8,0.58,0.57,0.49,0.02,0.4,0.03,0.36,0.37,0.43,0.5,0.4,0.37,0.39,0.41,0.72,0.16,0.28,0.2,0.28,0.38,0.48,0.22,0.6,0.0,0.02,0.88,0.43,0.07,0.25,0.35,0.05,0.19,1.0,1.0,1.0,0.56,0.74,0.14,0.06,0.04,0.48,0.36,0.54,0.48,0.65,0.03,0.23,0.2,0.25
410,FortPiercecity,0.04,0.41,0.83,0.29,0.03,0.12,0.37,0.41,0.28,0.66,0.06,1.0,0.12,0.23,0.28,0.34,0.73,0.56,0.61,0.13,0.16,0.3,0.12,0.09,0.59,0.24,0.1,0.78,0.63,0.77,0.16,0.86,0.2,0.13,0.36,0.46,0.21,0.77,0.47,0.76,0.79,0.46,0.06,0.02,0.07,0.0,0.57,0.58,0.08,0.91,0.02,0.35,0.52,0.57,0.73,0.22,0.3,0.3,0.35,0.81,0.18,0.49,0.41,0.42,0.27,0.31,0.45,0.79,0.0,0.16,0.23,0.4,0.16,0.2,0.65,0.94,0.45,0.1,0.09,0.1,0.9,0.42,0.36,0.17,0.06,0.27,0.38,0.43,0.64,0.58,0.03,0.25,0.17,1.0
411,Middletowncity,0.02,0.49,0.22,0.73,0.09,0.25,0.39,0.51,0.33,0.44,0.0,0.0,0.31,0.57,0.12,0.39,0.47,0.38,0.46,0.32,0.29,0.3,0.23,0.17,0.39,0.29,0.03,0.36,0.42,0.52,0.24,0.41,0.51,0.27,0.59,0.47,0.35,0.53,0.57,0.58,0.58,0.53,0.43,0.44,0.48,0.34,0.57,0.63,0.03,0.53,0.02,0.43,0.44,0.45,0.52,0.3,0.27,0.25,0.26,0.69,0.26,0.32,0.28,0.48,0.49,0.37,0.2,0.56,0.0,0.03,0.71,0.38,0.12,0.4,0.13,0.26,0.32,0.28,0.28,0.26,0.79,0.59,0.68,0.07,0.0,0.29,0.75,0.55,0.69,0.74,0.01,0.41,0.17,0.2
