gender,SeniorCitizen,tenure,PhoneService,PaymentMethod,StreamingTV,MonthlyCharges,Churn
Male,1,39,Yes,Electronic check,Yes,105.65,Yes
Male,0,7,Yes,Mailed check,No,74.65,Yes
Female,0,23,Yes,Mailed check,No,66.25,No
Male,0,27,Yes,Electronic check,No internet service,19.4,No
Male,1,47,Yes,Credit card (automatic),Yes,86.05,No
Male,0,26,Yes,Credit card (automatic),No internet service,19.15,No
Female,0,14,Yes,Bank transfer (automatic),Yes,64.7,Yes
Female,1,11,Yes,Bank transfer (automatic),Yes,104.05,Yes
Male,0,2,Yes,Mailed check,No internet service,19.25,No
Female,0,26,Yes,Electronic check,No,81.95,No
Female,1,72,Yes,Bank transfer (automatic),Yes,114.65,No
Female,0,63,Yes,Credit card (automatic),No internet service,20.0,No
Male,0,71,Yes,Mailed check,No internet service,19.8,No
Male,0,11,Yes,Bank transfer (automatic),Yes,65.15,No
Male,1,14,Yes,Mailed check,No internet service,19.65,No
Female,0,13,Yes,Credit card (automatic),Yes,88.95,No
Male,0,6,Yes,Mailed check,No internet service,20.2,No
Male,1,11,Yes,Credit card (automatic),No,75.2,No
Male,0,18,Yes,Credit card (automatic),No,56.8,No
Male,0,1,No,Electronic check,No,35.55,Yes
Female,0,32,Yes,Bank transfer (automatic),No,75.5,No
Male,0,29,No,Mailed check,No,35.6,No
Female,0,3,Yes,Electronic check,Yes,60.25,No
Female,0,2,Yes,Electronic check,Yes,95.15,Yes
Male,0,13,Yes,Mailed check,Yes,96.65,Yes
Female,0,41,No,Electronic check,No,40.35,No
Female,0,1,Yes,Electronic check,No internet service,18.85,No
Male,0,7,Yes,Mailed check,Yes,54.85,No
Female,0,52,Yes,Mailed check,Yes,64.3,No
Female,0,45,Yes,Bank transfer (automatic),No internet service,24.65,No
Male,0,70,Yes,Credit card (automatic),Yes,76.1,No
Female,0,53,Yes,Mailed check,No internet service,18.7,No
Female,1,62,Yes,Credit card (automatic),Yes,97.95,No
Female,0,60,Yes,Credit card (automatic),No,94.1,No
Female,1,3,Yes,Electronic check,Yes,80.4,Yes
Female,1,23,Yes,Electronic check,Yes,95.1,No
Male,0,1,No,Mailed check,No,31.35,Yes
Female,0,67,Yes,Bank transfer (automatic),No,72.35,No
Female,0,12,Yes,Bank transfer (automatic),Yes,89.75,Yes
Female,1,71,Yes,Bank transfer (automatic),No,82.7,No
Male,0,25,Yes,Credit card (automatic),No internet service,19.9,No
Female,0,5,Yes,Electronic check,No,53.8,No
Male,0,26,Yes,Credit card (automatic),No,51.55,No
Male,0,1,Yes,Mailed check,No internet service,19.65,No
Male,1,70,No,Credit card (automatic),Yes,44.05,No
Male,0,72,Yes,Electronic check,Yes,114.0,No
Male,0,60,Yes,Electronic check,Yes,94.4,Yes
Female,1,32,Yes,Electronic check,Yes,100.4,No
Male,0,1,Yes,Electronic check,No internet service,19.85,Yes
Female,0,14,Yes,Mailed check,No,54.25,No
Female,0,13,Yes,Credit card (automatic),No,80.0,No
Female,0,6,Yes,Credit card (automatic),Yes,109.9,Yes
Female,0,46,Yes,Mailed check,Yes,79.2,No
Male,0,15,Yes,Electronic check,Yes,101.35,Yes
Male,1,43,Yes,Electronic check,Yes,94.3,No
Male,0,39,Yes,Bank transfer (automatic),No,49.8,No
Male,1,21,Yes,Bank transfer (automatic),Yes,60.05,Yes
Male,0,57,No,Electronic check,Yes,53.75,No
Female,0,53,Yes,Electronic check,Yes,93.45,No
Male,0,18,Yes,Mailed check,Yes,87.9,No
Female,0,1,Yes,Electronic check,No,60.15,Yes
Female,0,58,Yes,Bank transfer (automatic),No,61.05,No
Female,1,71,Yes,Bank transfer (automatic),Yes,104.05,No
Female,0,35,Yes,Electronic check,Yes,99.25,No
Male,0,3,Yes,Credit card (automatic),No,85.7,No
Male,0,38,Yes,Electronic check,Yes,104.85,No
Male,0,35,Yes,Credit card (automatic),No,69.15,No
Male,0,7,Yes,Electronic check,Yes,90.45,Yes
Female,0,47,Yes,Mailed check,Yes,74.45,No
Female,0,14,Yes,Electronic check,No,50.45,No
Female,1,20,Yes,Electronic check,No,60.0,No
Male,0,66,Yes,Electronic check,Yes,85.25,No
Male,0,15,Yes,Credit card (automatic),No internet service,19.45,No
Female,0,42,Yes,Bank transfer (automatic),No internet service,20.75,No
Female,0,17,Yes,Electronic check,No,78.9,No
Male,0,37,Yes,Credit card (automatic),Yes,104.5,No
Female,0,12,Yes,Electronic check,No,49.4,No
Male,0,53,Yes,Bank transfer (automatic),Yes,94.25,Yes
Female,0,60,Yes,Mailed check,No internet service,25.0,No
Male,0,18,No,Credit card (automatic),No,25.55,No
Male,0,1,Yes,Electronic check,No,74.9,Yes
Female,0,3,Yes,Electronic check,No,70.15,No
Female,0,9,Yes,Credit card (automatic),Yes,69.4,No
Female,0,1,Yes,Electronic check,Yes,80.25,Yes
Male,0,56,Yes,Electronic check,No,93.15,No
Male,0,17,Yes,Electronic check,No,69.0,Yes
Female,0,11,Yes,Electronic check,No,66.35,Yes
Male,0,7,Yes,Electronic check,No,69.55,No
Female,0,69,Yes,Bank transfer (automatic),No internet service,20.2,No
Male,0,19,Yes,Bank transfer (automatic),No,86.0,Yes
Female,0,3,Yes,Electronic check,No,80.3,Yes
Male,0,54,Yes,Credit card (automatic),No internet service,20.4,No
Male,0,62,Yes,Credit card (automatic),No internet service,23.75,No
Male,0,24,Yes,Credit card (automatic),Yes,90.55,Yes
Female,0,62,Yes,Credit card (automatic),Yes,70.45,No
Male,0,17,Yes,Bank transfer (automatic),No,65.75,No
Male,0,9,No,Mailed check,No,24.6,No
Male,0,64,Yes,Mailed check,Yes,69.25,No
Female,0,2,Yes,Electronic check,No,75.9,Yes
Male,0,1,Yes,Mailed check,No,45.85,Yes
Female,0,16,No,Electronic check,Yes,49.95,Yes
Female,0,72,Yes,Bank transfer (automatic),No internet service,24.65,No
Male,0,30,Yes,Bank transfer (automatic),No,90.4,No
Female,0,49,Yes,Mailed check,Yes,100.85,No
Male,0,61,Yes,Credit card (automatic),No,75.35,No
Male,0,47,Yes,Electronic check,Yes,87.2,No
Male,0,20,Yes,Credit card (automatic),No,64.4,No
Male,0,34,Yes,Electronic check,Yes,78.3,Yes
Female,0,70,Yes,Bank transfer (automatic),No internet service,24.7,No
Male,0,54,Yes,Electronic check,Yes,105.85,No
Male,1,61,Yes,Mailed check,Yes,98.3,No
Male,0,3,Yes,Electronic check,No,76.95,Yes
Male,0,13,Yes,Mailed check,No internet service,19.45,No
Female,1,16,Yes,Electronic check,Yes,96.15,Yes
Female,0,3,Yes,Credit card (automatic),Yes,58.7,No
Male,0,25,Yes,Mailed check,No internet service,20.15,No
Male,0,30,Yes,Mailed check,No,64.5,No
Female,0,21,No,Electronic check,No,28.5,No
Male,0,1,Yes,Electronic check,No,45.3,Yes
Female,0,15,Yes,Bank transfer (automatic),No internet service,19.4,Yes
Male,1,23,Yes,Electronic check,Yes,90.45,No
Female,0,45,Yes,Electronic check,Yes,105.15,No
Female,0,24,Yes,Bank transfer (automatic),No,83.15,No
Female,0,11,Yes,Electronic check,Yes,90.15,Yes
Male,0,1,Yes,Mailed check,No,45.05,Yes
Female,0,56,Yes,Bank transfer (automatic),Yes,103.2,No
Female,0,1,Yes,Electronic check,No,75.8,Yes
Male,0,1,Yes,Electronic check,No internet service,19.45,No
Female,0,7,Yes,Electronic check,No,79.3,Yes
Female,1,55,Yes,Credit card (automatic),Yes,88.8,No
Female,0,2,No,Electronic check,No,30.9,Yes
Female,0,72,Yes,Credit card (automatic),Yes,85.9,No
Female,1,45,No,Electronic check,No,34.2,No
Female,0,47,Yes,Mailed check,No internet service,20.15,No
Female,1,46,Yes,Credit card (automatic),Yes,95.25,Yes
Male,0,2,Yes,Mailed check,No,50.3,No
Female,0,2,Yes,Electronic check,No,80.15,No
Female,0,12,Yes,Electronic check,No,51.25,No
Female,1,68,Yes,Bank transfer (automatic),No,89.6,Yes
Male,0,69,Yes,Credit card (automatic),Yes,95.2,No
Male,1,56,Yes,Credit card (automatic),Yes,94.8,No
Female,1,4,Yes,Electronic check,No,80.25,No
Male,0,64,Yes,Bank transfer (automatic),Yes,76.1,No
Male,0,59,Yes,Electronic check,Yes,110.15,Yes
Male,0,62,Yes,Bank transfer (automatic),Yes,115.55,No
Male,0,63,Yes,Credit card (automatic),No internet service,24.65,No
Female,0,53,No,Electronic check,Yes,53.6,No
Male,0,5,Yes,Mailed check,No internet service,19.45,No
Male,1,49,Yes,Electronic check,No,88.2,No
Female,0,62,Yes,Bank transfer (automatic),Yes,101.15,No
Female,0,55,Yes,Mailed check,No,56.8,No
Female,1,71,Yes,Electronic check,Yes,99.4,No
Female,0,72,Yes,Credit card (automatic),No internet service,20.1,No
Male,0,36,No,Credit card (automatic),Yes,60.7,No
Male,0,25,Yes,Bank transfer (automatic),No internet service,20.95,No
Female,1,72,Yes,Bank transfer (automatic),Yes,114.85,No
Female,0,36,Yes,Bank transfer (automatic),No internet service,19.25,No
Male,0,1,Yes,Mailed check,Yes,62.8,No
Female,0,72,Yes,Electronic check,Yes,105.5,No
Male,0,59,Yes,Mailed check,No internet service,19.85,No
Male,1,7,Yes,Electronic check,Yes,89.5,Yes
Female,0,1,Yes,Credit card (automatic),Yes,74.1,No
Female,0,30,Yes,Electronic check,Yes,107.5,No
Male,0,64,Yes,Mailed check,No internet service,19.55,No
Male,0,63,Yes,Bank transfer (automatic),No,68.8,No
Male,1,72,Yes,Credit card (automatic),Yes,84.45,No
Male,0,8,Yes,Electronic check,No,75.0,Yes
Female,0,62,Yes,Bank transfer (automatic),Yes,84.5,No
Male,0,67,Yes,Bank transfer (automatic),Yes,111.2,No
Male,0,6,Yes,Electronic check,No,44.75,Yes
Female,0,70,Yes,Bank transfer (automatic),Yes,80.6,No
Female,1,20,Yes,Bank transfer (automatic),Yes,80.7,No
Female,0,5,Yes,Electronic check,No,75.6,No
Female,0,24,No,Electronic check,Yes,57.6,No
Female,0,11,Yes,Electronic check,No,44.05,Yes
Male,0,72,Yes,Credit card (automatic),Yes,110.6,No
Female,0,66,Yes,Credit card (automatic),No,58.2,No
Female,0,45,Yes,Mailed check,Yes,81.0,No
Female,0,69,Yes,Bank transfer (automatic),No internet service,19.7,No
Male,1,15,Yes,Bank transfer (automatic),No,85.6,Yes
Female,0,28,Yes,Bank transfer (automatic),Yes,59.55,No
Female,0,70,Yes,Credit card (automatic),Yes,115.55,Yes
Female,0,36,Yes,Mailed check,No,75.55,No
Male,1,16,Yes,Electronic check,Yes,86.6,Yes
Female,0,18,Yes,Electronic check,Yes,85.2,Yes
Female,0,34,Yes,Electronic check,Yes,97.65,Yes
Male,0,42,No,Credit card (automatic),No,45.1,No
Male,0,48,Yes,Bank transfer (automatic),No,70.95,No
Male,0,47,Yes,Electronic check,Yes,109.55,Yes
Female,0,39,Yes,Electronic check,No,89.55,Yes
Female,0,11,Yes,Credit card (automatic),No internet service,20.9,No
Male,0,7,Yes,Mailed check,No internet service,19.95,No
Female,0,3,Yes,Mailed check,No internet service,24.6,No
Male,0,8,Yes,Electronic check,No,66.7,No
Male,0,1,Yes,Mailed check,No internet service,19.45,Yes
Male,0,32,Yes,Mailed check,No,94.8,No
Male,0,60,Yes,Bank transfer (automatic),No,65.85,No
Female,0,10,Yes,Bank transfer (automatic),No internet service,19.95,No
Female,0,71,Yes,Bank transfer (automatic),No internet service,24.65,No
Female,0,4,Yes,Mailed check,No internet service,20.35,Yes
Female,1,1,Yes,Electronic check,No,69.25,Yes
Female,0,43,No,Bank transfer (automatic),Yes,51.25,No
Male,0,59,Yes,Bank transfer (automatic),Yes,99.5,Yes
Female,0,23,Yes,Electronic check,No,54.25,No
Female,0,72,Yes,Bank transfer (automatic),No internet service,19.4,No
Male,0,22,Yes,Credit card (automatic),No,56.25,No
Female,0,1,No,Mailed check,No,25.15,No
Male,0,69,Yes,Bank transfer (automatic),No internet service,23.95,No
Male,0,50,No,Mailed check,No,35.4,No
Female,1,1,No,Electronic check,No,25.2,Yes
Male,0,2,Yes,Mailed check,No,45.0,Yes
Female,0,15,Yes,Bank transfer (automatic),No,75.35,No
Male,0,31,Yes,Bank transfer (automatic),No internet service,20.4,No
Male,0,1,Yes,Mailed check,No internet service,20.15,Yes
Male,0,66,Yes,Credit card (automatic),Yes,105.0,Yes
Female,0,0,No,Credit card (automatic),Yes,56.05,No
Male,0,3,Yes,Credit card (automatic),Yes,54.7,Yes
Female,0,8,Yes,Mailed check,No internet service,20.0,No
Male,0,64,Yes,Credit card (automatic),Yes,73.05,No
Female,0,28,Yes,Mailed check,No internet service,20.5,No
Female,0,57,Yes,Credit card (automatic),Yes,100.75,No
Female,0,14,Yes,Electronic check,No,87.25,Yes
Male,0,19,Yes,Mailed check,No internet service,19.95,No
Male,0,10,Yes,Electronic check,Yes,79.95,Yes
Female,0,51,No,Electronic check,Yes,49.65,No
Female,0,67,Yes,Mailed check,No,65.65,No
Male,0,11,Yes,Electronic check,No internet service,20.45,No
Male,0,72,No,Bank transfer (automatic),Yes,60.95,No
Male,0,66,Yes,Electronic check,No internet service,20.35,No
Female,0,18,Yes,Electronic check,Yes,88.35,Yes
Female,0,9,Yes,Electronic check,No internet service,19.5,No
Female,0,9,Yes,Credit card (automatic),No,75.2,No
Male,0,48,Yes,Bank transfer (automatic),Yes,111.45,No
Male,0,10,Yes,Mailed check,No,70.15,No
Female,0,9,Yes,Electronic check,Yes,94.75,Yes
Female,1,13,Yes,Electronic check,Yes,95.05,Yes
Male,0,4,Yes,Electronic check,No,78.45,Yes
Male,0,4,Yes,Electronic check,No,70.2,Yes
Female,0,72,Yes,Bank transfer (automatic),Yes,92.0,No
Female,0,51,Yes,Credit card (automatic),Yes,85.5,No
Male,0,59,No,Bank transfer (automatic),No,41.05,Yes
Male,0,10,Yes,Electronic check,Yes,85.6,Yes
Male,1,61,Yes,Electronic check,No,82.15,No
Male,0,54,Yes,Electronic check,No,84.4,No
Female,0,33,Yes,Mailed check,No,60.9,No
Female,0,27,Yes,Bank transfer (automatic),No internet service,20.25,No
Female,1,1,Yes,Electronic check,Yes,79.2,Yes
Male,0,23,Yes,Mailed check,Yes,95.3,No
Male,0,1,Yes,Mailed check,No internet service,19.85,No
Male,0,45,Yes,Mailed check,Yes,84.35,No
Female,0,39,Yes,Bank transfer (automatic),No internet service,19.85,No
Male,0,5,Yes,Mailed check,Yes,70.0,Yes
Male,0,72,Yes,Bank transfer (automatic),Yes,82.3,No
Female,0,58,Yes,Bank transfer (automatic),Yes,66.8,No
Female,0,70,No,Bank transfer (automatic),No,44.6,No
Male,0,61,Yes,Bank transfer (automatic),Yes,98.45,No
Male,0,2,Yes,Mailed check,No,70.7,No
Female,0,46,Yes,Mailed check,No internet service,24.95,No
Female,0,1,Yes,Bank transfer (automatic),No,49.95,Yes
Female,0,22,Yes,Electronic check,No,69.25,Yes
Female,0,48,Yes,Credit card (automatic),Yes,102.5,No
Male,0,64,Yes,Credit card (automatic),Yes,86.55,No
Male,0,72,Yes,Bank transfer (automatic),No internet service,24.3,No
Female,0,12,Yes,Credit card (automatic),Yes,58.35,No
Female,1,34,Yes,Electronic check,No,94.25,Yes
Female,0,72,Yes,Credit card (automatic),No,68.75,No
Male,0,29,Yes,Electronic check,No,85.8,No
Male,0,33,Yes,Credit card (automatic),No internet service,20.1,No
Female,0,1,Yes,Mailed check,No internet service,20.35,No
Female,0,62,Yes,Electronic check,Yes,110.8,No
Male,0,41,Yes,Electronic check,Yes,73.0,Yes
Female,0,64,Yes,Credit card (automatic),Yes,100.05,Yes
Female,0,4,Yes,Credit card (automatic),No,82.85,No
Female,0,24,Yes,Electronic check,No,84.35,No
Female,0,14,Yes,Mailed check,No internet service,19.55,No
Male,0,3,Yes,Mailed check,No internet service,19.95,No
Female,1,4,Yes,Credit card (automatic),Yes,99.8,Yes
Female,0,18,No,Electronic check,No,35.0,Yes
Male,0,8,Yes,Electronic check,Yes,66.25,No
Female,0,35,Yes,Bank transfer (automatic),No internet service,23.3,No
Female,0,1,Yes,Electronic check,No,76.0,Yes
Male,0,66,Yes,Credit card (automatic),No internet service,25.3,No
Male,0,8,No,Mailed check,No,44.55,No
Female,0,71,Yes,Credit card (automatic),Yes,104.1,No
Female,0,43,Yes,Bank transfer (automatic),No,92.55,No
Female,1,2,Yes,Electronic check,Yes,93.85,Yes
Male,1,29,Yes,Bank transfer (automatic),Yes,101.45,No
Female,0,15,Yes,Electronic check,Yes,84.3,Yes
Male,0,65,Yes,Credit card (automatic),No,94.55,No
Male,0,35,Yes,Electronic check,Yes,95.5,No
Male,0,64,Yes,Credit card (automatic),Yes,100.3,No
Female,0,58,No,Credit card (automatic),Yes,55.5,No
Female,1,18,Yes,Credit card (automatic),No,49.85,No
Male,0,67,Yes,Bank transfer (automatic),No,89.55,No
Male,0,63,Yes,Mailed check,No internet service,19.15,No
Female,0,60,Yes,Electronic check,Yes,99.8,No
Male,1,9,Yes,Credit card (automatic),No,84.4,Yes
Female,0,70,Yes,Credit card (automatic),Yes,113.05,No
Male,0,15,Yes,Electronic check,Yes,101.1,Yes
Female,0,48,Yes,Mailed check,No internet service,19.95,No
Male,0,12,Yes,Electronic check,Yes,74.15,No
Male,1,71,Yes,Electronic check,No,92.0,No
Male,1,44,Yes,Electronic check,No,73.85,No
Male,0,1,Yes,Electronic check,No,50.45,Yes
Male,0,45,Yes,Mailed check,No internet service,24.45,No
Female,0,23,Yes,Credit card (automatic),No internet service,24.8,No
Female,0,43,Yes,Bank transfer (automatic),Yes,64.85,No
Male,0,35,Yes,Bank transfer (automatic),No internet service,20.75,No
Male,0,9,Yes,Mailed check,Yes,68.95,No
Male,0,12,Yes,Mailed check,Yes,99.95,Yes
Female,1,65,Yes,Credit card (automatic),Yes,109.4,No
Female,0,2,Yes,Electronic check,Yes,91.4,Yes
Male,0,27,Yes,Mailed check,No,49.0,No
Female,0,40,Yes,Mailed check,No,50.25,No
Female,1,5,Yes,Credit card (automatic),No,75.55,Yes
Male,0,8,Yes,Credit card (automatic),No internet service,19.9,No
Female,1,58,Yes,Bank transfer (automatic),Yes,97.8,No
Female,0,52,Yes,Electronic check,Yes,100.3,No
Male,0,3,Yes,Mailed check,No,55.8,No
Male,0,41,Yes,Electronic check,Yes,111.15,No
Male,0,20,Yes,Mailed check,Yes,98.55,No
Male,0,1,Yes,Electronic check,No,50.05,No
Male,0,4,Yes,Credit card (automatic),No,80.8,Yes
Male,0,23,Yes,Electronic check,No internet service,20.85,No
Female,1,6,Yes,Bank transfer (automatic),No internet service,19.5,No
Male,0,8,Yes,Mailed check,No internet service,19.35,No
Male,0,18,Yes,Mailed check,Yes,69.5,No
Male,1,52,No,Credit card (automatic),Yes,48.8,No
Male,0,31,Yes,Electronic check,Yes,94.5,No
Male,0,29,Yes,Mailed check,No internet service,20.65,No
Female,0,36,Yes,Credit card (automatic),No,106.05,No
Female,0,16,Yes,Electronic check,Yes,100.0,Yes
Male,0,42,Yes,Electronic check,Yes,108.3,No
Male,0,1,Yes,Electronic check,No internet service,20.55,Yes
Female,0,60,Yes,Electronic check,Yes,99.65,No
Male,0,5,Yes,Electronic check,No,85.3,Yes
Male,0,22,Yes,Credit card (automatic),Yes,95.9,No
Male,0,36,Yes,Mailed check,No internet service,20.0,No
Female,0,4,Yes,Electronic check,No,70.4,Yes
Male,0,9,Yes,Mailed check,No,64.95,No
Male,0,1,Yes,Credit card (automatic),No,74.6,No
Male,0,12,Yes,Electronic check,No,49.2,No
Female,0,23,Yes,Mailed check,Yes,73.75,No
Male,0,62,Yes,Bank transfer (automatic),No,92.3,No
Male,0,37,Yes,Bank transfer (automatic),Yes,98.8,Yes
Female,0,8,Yes,Mailed check,No internet service,19.2,No
Male,0,31,Yes,Credit card (automatic),Yes,88.65,No
Male,0,13,Yes,Credit card (automatic),No,74.4,Yes
Female,0,24,Yes,Electronic check,Yes,98.75,Yes
Male,0,45,Yes,Bank transfer (automatic),No,95.95,No
Female,1,69,Yes,Credit card (automatic),Yes,105.4,No
Male,0,2,Yes,Mailed check,No internet service,20.25,No
Male,0,61,Yes,Electronic check,Yes,106.0,Yes
Male,0,41,Yes,Electronic check,Yes,104.7,Yes
Female,0,44,No,Electronic check,Yes,49.05,No
Male,0,39,No,Mailed check,No,35.55,No
Male,0,72,No,Credit card (automatic),Yes,65.1,No
Female,1,13,Yes,Electronic check,Yes,96.85,No
Female,0,51,Yes,Credit card (automatic),No,69.75,No
Female,1,71,Yes,Electronic check,Yes,99.2,No
Male,1,22,Yes,Electronic check,Yes,96.7,Yes
Female,0,2,Yes,Credit card (automatic),No,55.05,Yes
Female,0,56,Yes,Electronic check,Yes,106.8,No
Male,0,1,Yes,Mailed check,No,51.25,No
Female,0,23,Yes,Mailed check,No,57.75,No
Female,1,66,Yes,Bank transfer (automatic),Yes,70.85,No
Female,0,1,Yes,Mailed check,No internet service,19.55,No
Male,1,19,Yes,Electronic check,Yes,88.2,Yes
Male,0,11,Yes,Bank transfer (automatic),No,79.5,No
Female,0,8,Yes,Mailed check,No internet service,19.75,Yes
Female,0,52,Yes,Bank transfer (automatic),No,98.15,No
Male,0,3,Yes,Electronic check,No internet service,20.25,No
Female,0,51,Yes,Bank transfer (automatic),No,79.15,No
Male,1,15,Yes,Electronic check,No,75.65,Yes
Male,1,64,Yes,Electronic check,No,94.25,No
Female,0,37,No,Credit card (automatic),No,40.2,No
Male,0,13,Yes,Mailed check,No internet service,19.95,No
Male,0,49,Yes,Electronic check,No,55.35,No
Female,1,45,Yes,Bank transfer (automatic),Yes,102.15,No
Female,0,18,Yes,Electronic check,No,71.1,No
Male,1,1,Yes,Electronic check,No,74.7,Yes
Male,0,68,No,Bank transfer (automatic),Yes,54.1,No
Male,0,54,Yes,Credit card (automatic),No internet service,19.65,No
Female,1,23,Yes,Bank transfer (automatic),No,88.45,No
Male,0,17,Yes,Electronic check,No,76.65,Yes
Male,0,71,Yes,Credit card (automatic),No,80.4,No
Female,0,67,Yes,Bank transfer (automatic),No internet service,19.25,No
Female,0,14,Yes,Electronic check,Yes,84.8,No
Female,1,1,No,Mailed check,No,25.8,Yes
Female,0,63,Yes,Credit card (automatic),No internet service,19.5,No
Female,0,41,Yes,Electronic check,No,68.6,No
Female,0,17,Yes,Electronic check,Yes,92.6,No
Male,0,56,Yes,Electronic check,Yes,100.55,No
Female,0,5,Yes,Credit card (automatic),No internet service,20.55,No
Female,0,2,No,Electronic check,No,42.6,Yes
Female,0,3,Yes,Mailed check,No internet service,19.6,No
Male,0,37,Yes,Electronic check,No,67.45,No
Female,0,29,Yes,Bank transfer (automatic),No,68.85,Yes
Male,0,8,Yes,Mailed check,No,43.55,No
Female,0,63,Yes,Credit card (automatic),Yes,109.85,No
Female,0,7,Yes,Mailed check,No internet service,20.65,No
Female,0,3,Yes,Electronic check,Yes,95.4,No
Male,0,72,Yes,Bank transfer (automatic),No internet service,21.0,No
Female,0,19,Yes,Electronic check,No,56.2,No
Female,0,59,Yes,Bank transfer (automatic),No internet service,18.4,No
Male,0,2,Yes,Credit card (automatic),No,90.0,Yes
Female,0,35,Yes,Electronic check,No internet service,25.75,No
Male,0,14,Yes,Credit card (automatic),No internet service,19.6,No
Female,0,14,Yes,Electronic check,No,75.35,Yes
Female,0,69,Yes,Credit card (automatic),No internet service,19.8,No
Male,1,7,Yes,Electronic check,No,64.2,No
Male,0,69,Yes,Bank transfer (automatic),Yes,75.75,No
Female,0,72,Yes,Electronic check,Yes,78.95,No
Male,0,8,Yes,Electronic check,Yes,100.85,Yes
Female,0,4,Yes,Electronic check,No,50.3,No
Male,0,63,Yes,Credit card (automatic),No,80.3,No
Male,0,72,Yes,Bank transfer (automatic),No internet service,19.85,No
Female,0,46,Yes,Electronic check,No internet service,21.1,No
Female,0,5,Yes,Electronic check,No,69.95,Yes
Male,0,30,Yes,Mailed check,No,50.0,No
Male,0,63,Yes,Bank transfer (automatic),Yes,104.75,No
Female,0,60,Yes,Bank transfer (automatic),No internet service,19.85,No
Female,0,63,Yes,Electronic check,Yes,107.5,Yes
Male,0,25,Yes,Electronic check,Yes,85.9,No
Male,0,1,Yes,Mailed check,No,45.85,Yes
Male,1,6,Yes,Electronic check,No,80.8,No
Male,0,22,Yes,Mailed check,No internet service,25.25,No
Female,0,31,Yes,Bank transfer (automatic),Yes,80.55,No
Female,0,39,Yes,Bank transfer (automatic),No,81.5,No
Male,0,26,Yes,Mailed check,No internet service,20.9,No
Female,0,53,Yes,Bank transfer (automatic),Yes,106.1,Yes
Female,0,1,Yes,Electronic check,Yes,91.7,Yes
Male,0,12,Yes,Electronic check,No,67.25,No
Female,0,16,Yes,Credit card (automatic),No,95.6,Yes
Female,0,2,Yes,Mailed check,No internet service,20.35,No
Male,0,39,No,Bank transfer (automatic),Yes,45.05,No
Male,0,1,Yes,Electronic check,No,74.95,Yes
Female,0,7,No,Mailed check,No,34.65,No
Male,1,4,Yes,Electronic check,No,69.35,No
Male,1,10,Yes,Electronic check,Yes,95.35,Yes
Female,0,55,Yes,Electronic check,No,81.55,No
Male,0,72,Yes,Bank transfer (automatic),Yes,75.4,No
Female,0,10,Yes,Credit card (automatic),Yes,67.8,No
Male,1,11,Yes,Electronic check,Yes,111.4,No
Female,0,15,Yes,Electronic check,No,46.3,No
Female,0,23,Yes,Bank transfer (automatic),No internet service,20.4,No
Male,0,1,Yes,Mailed check,No internet service,20.05,No
Female,1,3,Yes,Electronic check,No,45.0,Yes
Male,0,47,Yes,Electronic check,No,96.1,No
Female,0,15,Yes,Mailed check,No internet service,19.65,No
Male,0,66,Yes,Electronic check,Yes,99.5,Yes
Female,1,68,Yes,Bank transfer (automatic),No,60.65,No
Female,0,17,Yes,Bank transfer (automatic),Yes,98.6,Yes
Female,0,7,Yes,Mailed check,Yes,59.5,Yes
Male,1,12,Yes,Electronic check,No,80.45,Yes
Female,1,21,Yes,Bank transfer (automatic),No,71.7,No
Male,0,21,No,Mailed check,No,36.0,No
Female,0,56,Yes,Bank transfer (automatic),Yes,65.2,No
Female,0,6,Yes,Credit card (automatic),No,48.95,No
Female,1,65,No,Bank transfer (automatic),Yes,53.5,No
Male,0,42,Yes,Credit card (automatic),Yes,80.45,No
Female,0,68,Yes,Bank transfer (automatic),Yes,109.05,No
Male,0,48,Yes,Bank transfer (automatic),No internet service,26.3,No
Female,1,50,Yes,Electronic check,Yes,106.8,No
Female,1,7,Yes,Electronic check,Yes,64.95,No
Female,0,63,Yes,Electronic check,No internet service,19.35,No
Male,0,17,Yes,Credit card (automatic),No internet service,21.1,No
Female,0,42,Yes,Credit card (automatic),Yes,77.95,Yes
Male,0,4,Yes,Mailed check,No internet service,18.85,No
Female,0,62,Yes,Bank transfer (automatic),No internet service,26.0,No
Male,1,2,Yes,Electronic check,No,74.7,Yes
Female,0,2,Yes,Electronic check,No,70.35,No
Male,0,48,Yes,Bank transfer (automatic),Yes,96.9,No
Male,0,27,Yes,Bank transfer (automatic),No internet service,19.55,No
Female,0,70,Yes,Bank transfer (automatic),Yes,80.4,No
Male,1,1,Yes,Electronic check,Yes,88.8,Yes
Male,0,46,Yes,Electronic check,Yes,94.65,No
Male,0,30,Yes,Electronic check,Yes,90.25,Yes
Female,0,15,Yes,Bank transfer (automatic),No,64.65,Yes
Male,0,69,Yes,Credit card (automatic),Yes,95.75,No
Male,0,65,Yes,Credit card (automatic),No internet service,19.55,No
Male,1,72,Yes,Credit card (automatic),Yes,104.1,No
Male,1,13,Yes,Bank transfer (automatic),No,89.05,Yes
Male,0,17,Yes,Mailed check,No internet service,20.1,No
Male,0,51,Yes,Electronic check,Yes,111.55,No
Male,0,51,Yes,Credit card (automatic),No,60.5,No
Female,0,72,Yes,Bank transfer (automatic),Yes,90.95,No
Male,0,67,Yes,Electronic check,No,87.4,Yes
